batch,sample_type,analyte,sample_id,conc_ng_mL_true,is_area,tic_factor,analyte_area,is_nominal_ng_mL,response_raw,response_tic_norm,slope,intercept,r_squared,conc_ng_mL_calc,lloq_ng_mL,uloq_ng_mL,in_range
B1,CAL,B,CAL_1_B_4,5,681163.5027194562,0.8627698114123307,34130.7158210637,100,0.05010649526112494,0.05807631954472535,0.011133049771553587,0.005272758829276913,0.9980204114570064,4.742955596081902,0.5,500,TRUE
B1,CAL,C,CAL_1_C_4,5,775787.1753197942,0.9826212829585966,82347.05650873596,100,0.10614645244011792,0.10802376691915237,0.019436793411749177,0.005046960945808843,0.997506217799198,5.298034701088914,0.5,500,TRUE
B1,CAL,A,CAL_1_A_5,16,856634.3086903173,1.0850232257121883,204409.01057669515,100,0.23861875307003522,0.21992041037961235,0.012388653579510607,0.005735246304001997,0.9908360131116158,17.288816956658447,0.5,500,TRUE
B1,CAL,B,CAL_1_B_5,16,844584.5606064716,1.0697608711668254,143868.22089285328,100,0.17034199724127763,0.15923371459219637,0.011133049771553587,0.005272758829276913,0.9980204114570064,13.829180585926242,0.5,500,TRUE
B1,CAL,C,CAL_1_C_5,16,832930.5284321974,1.05499973510911,264614.11866852443,100,0.3176905031522862,0.3011285146146791,0.019436793411749177,0.005046960945808843,0.997506217799198,15.233045255803074,0.5,500,TRUE
B1,CAL,A,CAL_1_A_6,50,757711.8041995624,0.9597268024552376,482876.0309222594,100,0.6372819167471777,0.6640242984949887,0.012388653579510607,0.005735246304001997,0.9908360131116158,53.13644844180002,0.5,500,TRUE
B1,CAL,B,CAL_1_B_6,50,774381.3303411012,0.9808406229521524,471299.0985210045,100,0.6086137153040682,0.6205021499540376,0.011133049771553587,0.005272758829276913,0.9980204114570064,55.261532441609404,0.5,500,TRUE
B1,CAL,C,CAL_1_C_6,50,695198.8993228636,0.8805472120397486,701161.0264681497,100,1.0085761458355205,1.1453970122728554,0.019436793411749177,0.005046960945808843,0.997506217799198,58.66965950452127,0.5,500,TRUE
B1,CAL,A,CAL_1_A_7,160,785310.8778722502,0.9946841181256676,1809876.2632401732,100,2.3046621589451526,2.316978945323809,0.012388653579510607,0.005735246304001997,0.9908360131116158,186.56133083278198,0.5,500,TRUE
B1,CAL,B,CAL_1_B_7,160,809655.7316577716,1.0255196000995834,1550709.4408261003,100,1.9152701329625863,1.8676094857442056,0.011133049771553587,0.005272758829276913,0.9980204114570064,167.28001447307324,0.5,500,TRUE
B1,CAL,C,CAL_1_C_7,160,924194.9985276888,1.1705964007240075,3254950.39879529,100,3.5219303328633758,3.0086632170448167,0.019436793411749177,0.005046960945808843,0.997506217799198,154.53249887830665,0.5,500,TRUE
B1,CAL,A,CAL_1_A_8,500,868578.0613866413,1.1001513252363448,5561772.856904033,100,6.403308008983028,5.820388397575587,0.012388653579510607,0.005735246304001997,0.9908360131116158,469.35311524799965,0.5,500,TRUE
B1,CAL,B,CAL_1_B_8,500,750381.1083366555,0.950441655699854,3894087.691249088,100,5.189479916253463,5.460072046644683,0.011133049771553587,0.005272758829276913,0.9980204114570064,489.9645110500754,0.5,500,TRUE
B1,CAL,C,CAL_1_C_8,500,817578.78168511,1.035555029699975,8187279.475353933,100,10.01405572008504,9.670230391316192,0.019436793411749177,0.005046960945808843,0.997506217799198,497.26224000137603,0.5,500,TRUE
B1,QC,A,QC_B1_A_25,5,699929.6171666062,0.8865391956466152,54791.326896067025,100,0.07828119506911063,0.08829975646143279,0.012388653579510607,0.005735246304001997,0.9908360131116158,6.664526506252697,0.5,500,TRUE
B1,QC,A,QC_B1_A_26,5,858842.6701788068,1.0878203626952292,58984.1753963111,100,0.0686786735736254,0.06313420480883834,0.012388653579510607,0.005735246304001997,0.9908360131116158,4.633187790460744,0.5,500,TRUE
B1,QC,A,QC_B1_A_27,50,866320.3454631051,1.0972916753376123,671533.8017981506,100,0.7751564479755716,0.7064269832695789,0.012388653579510607,0.005735246304001997,0.9908360131116158,56.55915168412163,0.5,500,TRUE
B1,QC,A,QC_B1_A_28,50,956971.6597819768,1.2121117105375676,606184.5778204626,100,0.6334404698657088,0.5225924841405748,0.012388653579510607,0.005735246304001997,0.9908360131116158,41.72021071695754,0.5,500,TRUE
B1,QC,B,QC_B1_B_29,5,822234.764822891,1.0414523534374986,42593.57965314826,100,0.05180221206326991,0.049740357196647066,0.011133049771553587,0.005272758829276913,0.9980204114570064,3.99419739243336,0.5,500,TRUE
B1,QC,B,QC_B1_B_30,5,752028.4139680945,0.952528152647064,42248.291357092035,100,0.056179115805170175,0.058978955791541804,0.011133049771553587,0.005272758829276913,0.9980204114570064,4.824032773076369,0.5,500,TRUE
B1,QC,B,QC_B1_B_31,50,794718.0459755472,1.0065993493704462,417452.9938588964,100,0.525284402402687,0.5218405940071527,0.011133049771553587,0.005272758829276913,0.9980204114570064,46.399490326341194,0.5,500,TRUE
B1,QC,B,QC_B1_B_32,50,749836.7948584427,0.9497522217606134,373105.8658375443,100,0.49758276520423456,0.5239079770530415,0.011133049771553587,0.005272758829276913,0.9980204114570064,46.58518814394831,0.5,500,TRUE
B1,QC,C,QC_B1_C_33,5,724294.5747156808,0.9174001412870664,65905.85487134094,100,0.0909931637928008,0.09918590558002525,0.019436793411749177,0.005046960945808843,0.997506217799198,4.843337202797617,0.5,500,TRUE
B1,QC,C,QC_B1_C_34,5,802691.7421427903,1.0166989279752985,87020.45105904998,100,0.10841079643693403,0.10663018663040034,0.019436793411749177,0.005046960945808843,0.997506217799198,5.226336645796027,0.5,500,TRUE
B1,QC,C,QC_B1_C_35,50,718747.0160629582,0.9103735373755242,704451.8205901523,100,0.9801109498149851,1.0766030750855344,0.019436793411749177,0.005046960945808843,0.997506217799198,55.13029291611393,0.5,500,TRUE
B1,QC,C,QC_B1_C_36,50,802786.1757956495,1.0168185387655757,939310.2483430858,100,1.1700628095795569,1.1507095562990233,0.019436793411749177,0.005046960945808843,0.997506217799198,58.942983602464125,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_37,2.7941672881881794,817532.8294896419,1.0354968261014854,29764.256468524098,100,0.036407414350693314,0.03515936836596847,0.012388653579510607,0.005735246304001997,0.9908360131116158,2.375086354067608,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_38,3.995856877247797,785394.0684578025,0.9947894883128866,49199.89232653568,100,0.06264357512037803,0.06297168984627935,0.012388653579510607,0.005735246304001997,0.9908360131116158,4.620069741633568,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_39,380.9554611081518,774038.6169833426,0.9804065381283746,3687216.692770466,100,4.763608186811971,4.858809077207748,0.012388653579510607,0.005735246304001997,0.9908360131116158,391.73537299728565,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_40,120.81190610123284,738263.2444284087,0.935093024839424,1229073.9917032488,100,1.6648180726575985,1.7803769554836368,0.012388653579510607,0.005735246304001997,0.9908360131116158,143.247343045792,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_41,24.918434298148423,701890.8186806756,0.8890232768601268,256972.47265915727,100,0.3661145947772635,0.4118166580185792,0.012388653579510607,0.005735246304001997,0.9908360131116158,32.778494378613395,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_42,44.434535595436046,856558.6695421012,1.084927420265506,484636.9559937147,100,0.5657954010935313,0.5215053012072167,0.012388653579510607,0.005735246304001997,0.9908360131116158,41.632454373915046,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_43,5.555132708585948,791273.3470137028,1.0022362526076023,64423.51651505446,100,0.0814175237396677,0.081235859836278,0.012388653579510607,0.005735246304001997,0.9908360131116158,6.09433567963715,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_44,38.138301777125186,855127.0088199397,1.0831140617306836,434485.4942203611,100,0.5080946920621108,0.4691054340576446,0.012388653579510607,0.005735246304001997,0.9908360131116158,37.40278834820299,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_45,6.210546240178834,691270.3107006769,0.8755712148655772,52639.17968633975,100,0.07614847458584512,0.08697005257023653,0.012388653579510607,0.005735246304001997,0.9908360131116158,6.557194108695351,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_46,18.1119874566284,802852.5754637503,1.0169026413766176,191354.36230667596,100,0.2383430883262027,0.23438142318476932,0.012388653579510607,0.005735246304001997,0.9908360131116158,18.45609576644564,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_47,53.77096198304203,842654.8136688616,1.067316630694768,706483.872837424,100,0.8384024648971521,0.785523658852196,0.012388653579510607,0.005735246304001997,0.9908360131116158,62.94375797527129,0.5,500,TRUE
B1,UNK,A,UNK_B1_A_48,16.295466351449857,787433.2676815555,0.9973723623551474,170051.11101023344,100,0.21595621875478535,0.21652516843843223,0.012388653579510607,0.005735246304001997,0.9908360131116158,17.01475634794182,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_49,3.6428943418492614,774397.246970292,0.9808607831443976,29334.021027391955,100,0.037879810578042114,0.03861894697900837,0.011133049771553587,0.005272758829276913,0.9980204114570064,2.995242887976246,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_50,93.12000554326536,727775.6678400987,0.9218093353300124,704350.2474889017,100,0.9678123062004542,1.0499050824365674,0.011133049771553587,0.005272758829276913,0.9980204114570064,93.83164047972409,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_51,1.265376224792051,952001.3040903892,1.205816198776349,16220.652958574738,100,0.017038477666869504,0.014130244463592373,0.011133049771553587,0.005272758829276913,0.9980204114570064,0.795602805706259,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_52,5.481820822113601,848760.4838461981,1.075050145315583,56166.380181727705,100,0.06617459371718994,0.0615548902584114,0.011133049771553587,0.005272758829276913,0.9980204114570064,5.055410025466944,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_53,69.02158167770074,933530.4779554044,1.182420830237829,751225.1264374168,100,0.8047140871958799,0.6805648772561135,0.011133049771553587,0.005272758829276913,0.9980204114570064,60.656525595735424,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_54,18.401120515415094,795828.5792948076,1.0080059641091987,156702.96369355885,100,0.19690542381930423,0.19534152656856024,0.011133049771553587,0.005272758829276913,0.9980204114570064,17.072479836112304,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_55,2.0702823894743574,739657.5509537805,0.9368590701033634,20542.710373216312,100,0.027773272032073092,0.02964509062073645,0.011133049771553587,0.005272758829276913,0.9980204114570064,2.1891873558073964,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_56,18.33121941466816,670032.529449028,0.8486711879966273,120186.77691742795,100,0.17937454024248392,0.21135929059394057,0.011133049771553587,0.005272758829276913,0.9980204114570064,18.511237800377213,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_57,17.229620097059666,739287.2297805869,0.9363900168914948,103426.85571216508,100,0.13990077407783866,0.14940438444897455,0.011133049771553587,0.005272758829276913,0.9980204114570064,12.946284133928241,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_58,85.22299371389451,807374.4908086563,1.0226301532497162,685308.0140563924,100,0.8488105852465023,0.8300269482071796,0.011133049771553587,0.005272758829276913,0.9980204114570064,74.081604439177,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_59,2.3684521933566622,869539.4525529888,1.1013690347465748,23075.79835593243,100,0.0265379544173428,0.024095424494523936,0.011133049771553587,0.005272758829276913,0.9980204114570064,1.6907016542171058,0.5,500,TRUE
B1,UNK,B,UNK_B1_B_60,155.91060423611782,809462.628632877,1.0252750135066342,1011956.7736044234,100,1.2501587322364025,1.2193398997997849,0.011133049771553587,0.005272758829276913,0.9980204114570064,109.05072427436818,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_61,172.6833870234834,696981.5737490702,0.8828051687158879,2679284.869488556,100,3.844125828286476,4.354444179204422,0.019436793411749177,0.005046960945808843,0.997506217799198,223.77133543177362,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_62,1.03767539058405,842303.3264962359,1.0668714328525033,19128.56048199857,100,0.022709824216851235,0.021286373894304943,0.019436793411749177,0.005046960945808843,0.997506217799198,0.8354985621589042,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_63,5.743215469730185,659231.0508946535,0.8349899065155639,79727.70029351745,100,0.12094045052234365,0.14484061373511867,0.019436793411749177,0.005046960945808843,0.997506217799198,7.192217863714453,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_64,0.871366100777424,760623.4874625319,0.96341477518081,13526.779208957603,100,0.017783804249962672,0.01845913588633211,0.019436793411749177,0.005046960945808843,0.997506217799198,0.6900405152434176,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_65,3.533566374960118,764550.0192287472,0.968388167116692,62257.68672382714,100,0.08143049526913966,0.08408869297896655,0.019436793411749177,0.005046960945808843,0.997506217799198,4.066603495686612,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_66,64.55022601625592,635692.2614693397,0.8051753952678631,1029697.9281420646,100,1.6198056678588784,2.0117426307096813,0.019436793411749177,0.005046960945808843,0.997506217799198,103.24211546904966,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_67,5.427858219984003,862147.0679037052,1.0920057522390905,92089.68208710902,100,0.10681435397214004,0.09781482721416421,0.019436793411749177,0.005046960945808843,0.997506217799198,4.772796844786082,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_68,18.864470189504313,740331.609357829,0.9377128405121126,292847.0005840247,100,0.3955619304679468,0.4218369562390964,0.019436793411749177,0.005046960945808843,0.997506217799198,21.443351609702546,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_69,1.1027642117477243,763135.353781981,0.9665963350002542,23718.890149266095,100,0.031080843040122486,0.0321549357417275,0.019436793411749177,0.005046960945808843,0.997506217799198,1.3946731964302503,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_70,26.72065196660355,899655.823582375,1.1395147892529622,556276.0698939945,100,0.6183209793262238,0.5426177748264064,0.019436793411749177,0.005046960945808843,0.997506217799198,27.657381672619213,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_71,1.702007103326881,839773.7499935607,1.063667441103895,38648.16083660805,100,0.046022111118505904,0.04326738728670988,0.019436793411749177,0.005046960945808843,0.997506217799198,1.9663956667768825,0.5,500,TRUE
B1,UNK,C,UNK_B1_C_72,205.50793716166189,780947.0409769233,0.9891568303009616,3380268.0592834433,100,4.3284216238977065,4.375869924065264,0.019436793411749177,0.005046960945808843,0.997506217799198,224.8736646281055,0.5,500,TRUE
B2,CAL,A,CAL_2_A_1,0,957554.2580475968,1.0513762778404674,2463.1372877031595,100,0.0025723213770939392,0.002446622994364588,0.009784276837939978,0.003791566253792196,0.9867827365190855,0,0.5,500,FALSE
B2,CAL,B,CAL_2_B_1,0,947126.8478781944,1.0399271807273958,3011.6806295914644,100,0.0031798070515458377,0.0030577208774576546,0.008877530650009536,0.0038095579775409157,0.999010858512674,0,0.5,500,FALSE
B2,CAL,C,CAL_2_C_1,0,1062209.4189887575,1.1662856447430403,5024.457171496694,100,0.004730194518779609,0.004055777021779068,0.018775788033778232,-0.002393592118383775,0.995697136797932,0.3434939257175372,0.5,500,FALSE
B2,CAL,A,CAL_2_A_2,0.5,935890.0035349232,1.0275893403585483,6242.755133615748,100,0.0066703940741288156,0.006491303298067855,0.009784276837939978,0.003791566253792196,0.9867827365190855,0.27592606883393056,0.5,500,FALSE
B2,CAL,B,CAL_2_B_2,0.5,956872.0826786564,1.0506272623207686,7822.126577581355,100,0.008174683658534783,0.0077807648361203074,0.008877530650009536,0.0038095579775409157,0.999010858512674,0.4473323737356092,0.5,500,FALSE
B2,CAL,C,CAL_2_C_2,0.5,942416.3986660097,1.0347551975023812,11996.112920281668,100,0.012729100360798227,0.012301557307006359,0.018775788033778232,-0.002393592118383775,0.995697136797932,0.7826648553420553,0.5,500,TRUE
B2,CAL,A,CAL_2_A_3,1.6,876405.2660334199,0.96227623525036865,20131.141307686634,100,0.022970128190579555,0.023870617759362105,0.009784276837939978,0.003791566253792196,0.9867827365190855,2.0521753255907913,0.5,500,TRUE
B2,CAL,B,CAL_2_B_3,1.6,919653.4786674812,1.0097619463109238,15553.989171146875,100,0.01691288026625377,0.016749373778684656,0.008877530650009536,0.0038095579775409157,0.999010858512674,1.4575917911508243,0.5,500,TRUE
B2,CAL,C,CAL_2_C_3,1.6,1060013.406062035,1.1638744645121728,28640.495827788454,100,0.027018993971206752,0.02321469780036072,0.018775788033778232,-0.002393592118383775,0.995697136797932,1.3638996069126035,0.5,500,TRUE
B2,CAL,A,CAL_2_A_4,5,831016.9691527946,0.9124407525810432,45100.60878627504,100,0.05427158585251782,0.05947957245333297,0.009784276837939978,0.003791566253792196,0.9867827365190855,5.691581209517939,0.5,500,TRUE
B2,CAL,B,CAL_2_B_4,5,921852.1085088842,1.012175999864105,45133.50099445035,100,0.048959589697586924,0.04837062892635298,0.008877530650009536,0.0038095579775409157,0.999010858512674,5.019534452270711,0.5,500,TRUE
B2,CAL,C,CAL_2_C_4,5,1034820.437182828,1.1362130660844982,85937.41268426899,100,0.08304572425939236,0.07308992189781453,0.018775788033778232,-0.002393592118383775,0.995697136797932,4.020258104767752,0.5,500,TRUE
B2,CAL,A,CAL_2_A_5,16,889394.2498752332,0.976537891307729,147767.03534792,100,0.1661434570424187,0.17013518729921273,0.009784276837939978,0.003791566253792196,0.9867827365190855,17.00111554493211,0.5,500,TRUE
B2,CAL,B,CAL_2_B_5,16,814824.48937999,0.8946617192056914,118795.17635174384,100,0.14579234902737956,0.16295807219383274,0.008877530650009536,0.0038095579775409157,0.999010858512674,17.92711515066646,0.5,500,TRUE
B2,CAL,C,CAL_2_C_5,16,831546.0192117724,0.9130216394364088,217794.57850001263,100,0.26191524397706994,0.28686641440256044,0.018775788033778232,-0.002393592118383775,0.995697136797932,15.406011508041972,0.5,500,TRUE
B2,CAL,A,CAL_2_A_6,50,875231.3492329195,0.9609872970352944,465845.8776534569,100,0.5322545611074592,0.5538622235168952,0.009784276837939978,0.003791566253792196,0.9867827365190855,56.219858286319415,0.5,500,TRUE
B2,CAL,B,CAL_2_B_6,50,833589.1815911459,0.9152649926870428,371853.4541207062,100,0.4460871881889306,0.48738583006360164,0.008877530650009536,0.0038095579775409157,0.999010858512674,54.47193495023769,0.5,500,TRUE
B2,CAL,C,CAL_2_C_6,50,887024.5997857056,0.97393606079006,629593.5673152573,100,0.7097814056874628,0.7287761838407399,0.018775788033778232,-0.002393592118383775,0.995697136797932,38.94216182264768,0.5,500,TRUE
B2,CAL,A,CAL_2_A_7,160,873018.8629424456,0.9585580293658108,1036840.9620533752,100,1.1876501254036818,1.238996585516518,0.009784276837939978,0.003791566253792196,0.9867827365190855,126.24387471060058,0.5,500,TRUE
B2,CAL,B,CAL_2_B_7,160,894091.0792650662,0.9816949202280566,1237228.9507510231,100,1.3837840231758187,1.4095866186761496,0.008877530650009536,0.0038095579775409157,0.999010858512674,158.35226214590412,0.5,500,TRUE
B2,CAL,C,CAL_2_C_7,160,947835.8120020152,1.0407056097880578,3010173.677160124,100,3.1758387254877474,3.0516206462406927,0.018775788033778232,-0.002393592118383775,0.995697136797932,162.65704708983768,0.5,500,TRUE
B2,CAL,A,CAL_2_A_8,500,967651.9155444788,1.0624633128202146,5291149.643360901,100,5.468029937587293,5.146558823826954,0.009784276837939978,0.003791566253792196,0.9867827365190855,525.6154688542052,0.5,500,FALSE
B2,CAL,B,CAL_2_B_8,500,1063607.375582917,1.1678205743704713,5467677.580318224,100,5.140691674238934,4.401953336890036,0.008877530650009536,0.0038095579775409157,0.999010858512674,495.4242291360346,0.5,500,TRUE
B2,CAL,C,CAL_2_C_8,500,904506.3009731468,0.9931306346435008,8598375.037085695,100,9.506152724237314,9.57190564124496,0.018775788033778232,-0.002393592118383775,0.995697136797932,509.9279570124503,0.5,500,FALSE
B2,QC,A,QC_B2_A_97,5,881541.7611471788,0.9679160087341824,48231.35422485657,100,0.05471250070114835,0.05652608305621483,0.009784276837939978,0.003791566253792196,0.9867827365190855,5.389720433699991,0.5,500,TRUE
B2,QC,A,QC_B2_A_98,5,1044736.370789146,1.1471005717048903,47059.77018754552,100,0.04504463662158016,0.039268254007259445,0.009784276837939978,0.003791566253792196,0.9867827365190855,3.6258875685018594,0.5,500,TRUE
B2,QC,A,QC_B2_A_99,50,1065986.6204610716,1.1704329397827098,551422.5590122746,100,0.5172884428641024,0.4419633327819163,0.009784276837939978,0.003791566253792196,0.9867827365190855,44.783255194604514,0.5,500,TRUE
B2,QC,A,QC_B2_A_100,50,914701.1679327234,1.0043244037557528,537686.275498502,100,0.5878272536960935,0.5852961966251797,0.009784276837939978,0.003791566253792196,0.9867827365190855,59.43256103675619,0.5,500,TRUE
B2,QC,B,QC_B2_B_101,5,880465.4758886998,0.966734268086648,28581.05995933532,100,0.03246130682237934,0.03357831401448764,0.008877530650009536,0.0038095579775409157,0.999010858512674,3.3532698686784874,0.5,500,TRUE
B2,QC,B,QC_B2_B_102,5,744800.264402721,0.8177764582436905,33749.71846699457,100,0.045313784218456936,0.05541096685000659,0.008877530650009536,0.0038095579775409157,0.999010858512674,5.812585831219884,0.5,500,TRUE
B2,QC,B,QC_B2_B_103,50,1039295.1724250744,1.141126239874678,532385.5364360145,100,0.5122563354102326,0.4489041768652084,0.008877530650009536,0.0038095579775409157,0.999010858512674,50.137210045812616,0.5,500,TRUE
B2,QC,B,QC_B2_B_104,50,834478.7816861002,0.916241756592314,405377.69245555566,100,0.4857855003053195,0.5301935835276191,0.008877530650009536,0.0038095579775409157,0.999010858512674,59.293968818853116,0.5,500,TRUE
B2,QC,C,QC_B2_C_105,5,808414.5429955148,0.8876237205604683,79069.95826374073,100,0.09780867866472737,0.11019160078661312,0.018775788033778232,-0.002393592118383775,0.995697136797932,5.996296544382191,0.5,500,TRUE
B2,QC,C,QC_B2_C_106,5,1187977.49468547,1.3043765886095289,112615.91685397136,100,0.09479633861564664,0.07267559034979304,0.018775788033778232,-0.002393592118383775,0.995697136797932,3.9981907727720936,0.5,500,TRUE
B2,QC,C,QC_B2_C_107,50,932167.5256982,1.0235021308250671,853992.142716726,100,0.9161359081642326,0.8950991703609994,0.018775788033778232,-0.002393592118383775,0.995697136797932,47.80053763201659,0.5,500,TRUE
B2,QC,C,QC_B2_C_108,50,907733.592424972,0.9966741389886694,790244.1026762752,100,0.8705683135127471,0.8734733645202407,0.018775788033778232,-0.002393592118383775,0.995697136797932,46.64874545147784,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_109,0.8761299192615546,661922.3097408373,0.7267780477044196,6883.187861574,100,0.010398785114629203,0.01430806165303769,0.009784276837939978,0.003791566253792196,0.9867827365190855,1.0748362473214403,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_110,103.92268419836984,901674.10825288,0.9900209411558104,831150.9624205289,100,0.9217864357123444,0.9310777150190329,0.009784276837939978,0.003791566253792196,0.9867827365190855,94.77308994054133,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_111,1.3992423017690878,999655.9886084162,1.0976031734922396,16778.32492754734,100,0.016784098848748777,0.015291591035899502,0.009784276837939978,0.003791566253792196,0.9867827365190855,1.1753576654244147,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_112,20.15432101957604,948456.2979889496,1.0413868915451097,187031.63486484415,100,0.19719583839699828,0.18935886364424856,0.009784276837939978,0.003791566253792196,0.9867827365190855,18.965867428330704,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_113,8.713933681804383,993853.558547042,1.0912322161610113,81848.44393371853,100,0.0823546318568063,0.0754693919746362,0.009784276837939978,0.003791566253792196,0.9867827365190855,7.325817421978767,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_114,1.2364016500762447,1091433.5845238296,1.1983732200684385,17147.433448412306,100,0.015710927070192168,0.01311021208342333,0.009784276837939978,0.003791566253792196,0.9867827365190855,0.9524102786520421,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_115,5.868129163917863,1017240.7007467452,1.1169108514013626,63822.838911479026,100,0.06274113773134263,0.056173809801044326,0.009784276837939978,0.003791566253792196,0.9867827365190855,5.353716418175357,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_116,50.972861169458305,864428.7945897279,0.949126298458478,511988.3148777477,100,0.5922851229414977,0.624031937481299,0.009784276837939978,0.003791566253792196,0.9867827365190855,63.391539456695796,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_117,253.1728232833904,974896.7638733062,1.0704180178465512,2212284.106678296,100,2.2692496156093465,2.1199658243557824,0.009784276837939978,0.003791566253792196,0.9867827365190855,216.28315440710057,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_118,15.023121136692028,892691.6490725535,0.9801583726177922,130459.7458581799,100,0.1461420032255469,0.1491003977604487,0.009784276837939978,0.003791566253792196,0.9867827365190855,14.851259210409916,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_119,1.9409060799582452,861757.1840272226,0.9461929211115137,18975.987054528712,100,0.022020108919601728,0.023272324732396245,0.009784276837939978,0.003791566253792196,0.9867827365190855,1.9910269099362083,0.5,500,TRUE
B2,UNK,A,UNK_B2_A_120,23.55362357526146,650670.8268572952,0.7144241344980765,134262.6386541151,100,0.20634494910828619,0.2888269574672967,0.009784276837939978,0.003791566253792196,0.9867827365190855,29.13198348070424,0.5,500,TRUE
